Symbol,Close,Volume,Date
ACB,22300,355170,2022-10-28
BID,33800,210620,2022-10-28
BVH,52500,82510,2022-10-28
CTG,24050,763150,2022-10-28
FPT,75000,87580,2022-10-28
GAS,109000,19410,2022-10-28
GVR,14500,143150,2022-10-28
HDB,16500,139500,2022-10-28
HPG,16800,3120410,2022-10-28
KDH,23000,168100,2022-10-28
MBB,17650,1395070,2022-10-28
MSN,83900,176870,2022-10-28
MWG,53200,180200,2022-10-28
NVL,72500,154540,2022-10-28
PDR,44600,99620,2022-10-28
PLX,29000,59380,2022-10-28
POW,10350,617460,2022-10-28
SAB,186100,8580,2022-10-28
SSI,15900,1626250,2022-10-28
STB,16149,1882460,2022-10-28
TCB,24400,1248420,2022-10-28
TPB,20850,278470,2022-10-28
VCB,71600,156100,2022-10-28
VHM,44900,307620,2022-10-28
VIB,19700,230970,2022-10-28
VIC,55700,128100,2022-10-28
VJC,107800,13680,2022-10-28
VNM,78000,143880,2022-10-28
VPB,16350,811120,2022-10-28
VRE,23700,160350,2022-10-28
