Symbol,Close,Volume,Date
ACB,20150,1261640,2022-11-06
BID,33300,237660,2022-11-06
BVH,50000,89880,2022-11-06
CTG,24500,1395700,2022-11-06
FPT,72900,164680,2022-11-06
GAS,111000,32960,2022-11-06
GVR,13350,163320,2022-11-06
HDB,15400,704990,2022-11-06
HPG,14650,4388960,2022-11-06
KDH,21450,212030,2022-11-06
MBB,17900,2498050,2022-11-06
MSN,84300,95290,2022-11-06
MWG,46050,574290,2022-11-06
NVL,59900,33770,2022-11-06
PDR,37500,10810,2022-11-06
PLX,28800,105120,2022-11-06
POW,9800,771030,2022-11-06
SAB,182000,11750,2022-11-06
SSI,15350,2531080,2022-11-06
STB,16600,3210060,2022-11-06
TCB,25500,1262640,2022-11-06
TPB,21300,737330,2022-11-06
VCB,71800,153800,2022-11-06
VHM,44500,433840,2022-11-06
VIB,19750,676970,2022-11-06
VIC,54300,161790,2022-11-06
VJC,100100,23620,2022-11-06
VNM,80000,290920,2022-11-06
VPB,16950,3234640,2022-11-06
VRE,26000,178610,2022-11-06
